Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2024-05-09,219,0.7440882199864016,0.7097022199864016,0.7784742199864016,0.8486974571234309,0.7995745999805737,0.897820314266288,84.86974571234309,79.95745999805737,89.7820314266288,Grain Filling,2023-10-03,2024-07-30,12.5,6.8,17.4,0.0,68,1025.2,7.9,45,12.1,1540.3000000000004
2024-05-10,220,0.7449932916922778,0.7106072916922778,0.7793792916922778,0.849990416703254,0.8008675595603968,0.8991132738461112,84.9990416703254,80.08675595603968,89.91132738461111,Grain Filling,2023-10-03,2024-07-30,13.6,6.7,19.0,0.0,65,1022.4,7.0,51,12.85,1553.1500000000003
2024-05-11,221,0.7456572967510977,0.7112712967510977,0.7800432967510977,0.850938995358711,0.8018161382158538,0.9000618525015682,85.0938995358711,80.18161382158539,90.00618525015682,Grain Filling,2023-10-03,2024-07-30,14.9,8.2,21.4,0.0,63,1020.6,7.6,58,14.799999999999999,1567.9500000000003
2024-05-12,222,0.7460660280545357,0.7116800280545357,0.7804520280545357,0.8515228972207654,0.8024000400779081,0.9006457543636225,85.15228972207653,80.24000400779082,90.06457543636225,Grain Filling,2023-10-03,2024-07-30,15.8,9.1,21.6,0.0,64,1017.7,8.2,14,15.350000000000001,1583.3000000000002
2024-05-13,223,0.7462056565656326,0.7118196565656326,0.7805916565656327,0.8517223665223324,0.8025995093794752,0.9008452236651896,85.17223665223324,80.25995093794752,90.08452236651895,Grain Filling,2023-10-03,2024-07-30,16.4,10.5,22.4,0.0,64,1013.7,8.2,8,16.45,1599.7500000000002
2024-05-14,224,0.7460642048753969,0.7116782048753969,0.780450204875397,0.8515202926791385,0.8023974355362813,0.9006431498219957,85.15202926791386,80.23974355362813,90.06431498219956,Grain Filling,2023-10-03,2024-07-30,16.9,10.5,22.9,0.0,61,1008.4,12.8,5,16.7,1616.4500000000003
2024-05-15,225,0.7456410086384209,0.7112550086384208,0.7800270086384209,0.8509157266263155,0.8017928694834584,0.9000385837691728,85.09157266263155,80.17928694834583,90.00385837691728,Grain Filling,2023-10-03,2024-07-30,17.0,11.4,22.9,0.2,59,1005.5,8.5,85,17.15,1633.6000000000004
2024-05-16,226,0.7449998907175082,0.7106138907175081,0.7793858907175082,0.8499998438821545,0.8008769867392973,0.8991227010250117,84.99998438821545,80.08769867392974,89.91227010250117,Grain Filling,2023-10-03,2024-07-30,15.3,11.9,21.6,8.1,78,1005.2,8.7,88,16.75,1650.3500000000004
2024-05-17,227,0.7444063455010885,0.7100203455010885,0.7787923455010886,0.8491519221444122,0.800029065001555,0.8982747792872694,84.91519221444122,80.0029065001555,89.82747792872694,Grain Filling,2023-10-03,2024-07-30,11.6,10.0,12.8,12.0,85,1005.6,17.0,100,11.4,1661.7500000000005
2024-05-18,228,0.7443180374950701,0.7099320374950701,0.7787040374950701,0.8490257678501001,0.799902910707243,0.8981486249929573,84.90257678501001,79.9902910707243,89.81486249929573,Grain Filling,2023-10-03,2024-07-30,13.1,10.2,17.2,8.3,79,1010.8,15.7,84,13.7,1675.4500000000005
